year,month,day,home_team,away_team,home_score,away_score,tournament,country,neutral
1930,6,15,Sweden,Switzerland,1,0,Friendly,Sweden,FALSE
1930,6,15,Bulgaria,Yugoslavia,2,2,Friendly,Bulgaria,FALSE
1930,6,16,Finland,Denmark,1,6,Nordic Championship,Finland,FALSE
1930,6,19,Norway,Switzerland,3,0,Friendly,Norway,FALSE
1930,6,22,Denmark,Sweden,6,1,Nordic Championship,Denmark,FALSE
1930,6,22,Italy,Spain,2,3,Friendly,Italy,FALSE
1930,6,27,Estonia,Latvia,1,1,Friendly,Estonia,FALSE
1930,7,6,Sweden,Norway,6,3,Nordic Championship,Sweden,FALSE
1930,7,10,France,Romania,4,2,Friendly,Uruguay,TRUE
1930,7,13,United States,Belgium,3,0,World Cup,Uruguay,TRUE
1930,7,13,France,Mexico,4,1,World Cup,Uruguay,TRUE
1930,7,14,Yugoslavia,Brazil,2,1,World Cup,Uruguay,TRUE
1930,7,14,Romania,Peru,3,1,World Cup,Uruguay,TRUE
1930,7,15,Argentina,France,1,0,World Cup,Uruguay,TRUE
1930,7,16,Chile,Mexico,3,0,World Cup,Uruguay,TRUE
1930,7,17,United States,Paraguay,3,0,World Cup,Uruguay,TRUE
1930,7,17,Yugoslavia,Bolivia,4,0,World Cup,Uruguay,TRUE
1930,7,18,Uruguay,Peru,1,0,World Cup,Uruguay,FALSE
1930,7,18,Estonia,Sweden,1,5,Friendly,Estonia,FALSE
1930,7,19,Argentina,Mexico,6,3,World Cup,Uruguay,TRUE
1930,7,19,Chile,France,1,0,World Cup,Uruguay,TRUE
1930,7,20,Brazil,Bolivia,4,0,World Cup,Uruguay,TRUE
1930,7,20,Paraguay,Belgium,1,0,World Cup,Uruguay,TRUE
1930,7,21,Uruguay,Romania,4,0,World Cup,Uruguay,FALSE
1930,7,22,Argentina,Chile,3,1,World Cup,Uruguay,TRUE
1930,7,22,Latvia,Sweden,0,5,Friendly,Latvia,FALSE
1930,7,26,Argentina,United States,6,1,World Cup,Uruguay,TRUE
1930,7,27,Uruguay,Yugoslavia,6,1,World Cup,Uruguay,FALSE
1930,7,29,Faroe Islands,Iceland,0,1,Friendly,Faroe Islands,FALSE
1930,7,30,Uruguay,Argentina,4,2,World Cup,Uruguay,FALSE
1930,8,1,Brazil,France,3,2,Friendly,Brazil,FALSE
1930,8,3,Argentina,Yugoslavia,3,1,Friendly,Argentina,FALSE
1930,8,4,Latvia,Finland,3,0,Friendly,Latvia,FALSE
1930,8,6,Estonia,Finland,4,0,Friendly,Estonia,FALSE
1930,8,10,Brazil,Yugoslavia,4,1,Friendly,Brazil,FALSE
1930,8,15,Lithuania,Estonia,2,1,Baltic Cup,Lithuania,FALSE
1930,8,16,Latvia,Estonia,3,2,Baltic Cup,Lithuania,TRUE
1930,8,17,Brazil,United States,4,3,Friendly,Brazil,FALSE
1930,8,17,Lithuania,Latvia,3,3,Baltic Cup,Lithuania,FALSE
1930,8,31,Suriname,British Guiana,2,0,Friendly,Suriname,FALSE
1930,9,7,Suriname,British Guiana,1,4,Friendly,Suriname,FALSE
1930,9,7,Denmark,Germany,6,3,Friendly,Denmark,FALSE
1930,9,8,Suriname,British Guiana,2,0,Friendly,Suriname,FALSE
1930,9,13,Lithuania,Estonia,4,0,Friendly,Lithuania,FALSE
1930,9,14,Belgium,Netherlands,4,1,Friendly,Belgium,FALSE
1930,9,21,Austria,Hungary,2,3,Friendly,Austria,FALSE
1930,9,21,Belgium,Czechoslovakia,2,3,Friendly,Belgium,FALSE
1930,9,21,Norway,Denmark,1,0,Nordic Championship,Norway,FALSE
1930,9,28,Germany,Hungary,5,3,Friendly,Germany,FALSE
1930,9,28,Belgium,Sweden,2,2,Friendly,Belgium,FALSE
1930,9,28,Finland,Sweden,4,4,Nordic Championship,Finland,FALSE
1930,9,28,Sweden,Poland,0,3,Friendly,Sweden,FALSE
1930,10,12,Bulgaria,Romania,5,3,Balkan Cup,Bulgaria,FALSE
1930,10,20,England,Northern Ireland,5,1,British Championship,England,FALSE
1930,10,25,Scotland,Wales,1,1,British Championship,Scotland,FALSE
1930,10,26,Hungary,Czechoslovakia,1,1,Friendly,Hungary,FALSE
1930,10,26,Poland,Latvia,6,0,Friendly,Poland,FALSE
1930,11,2,Switzerland,Netherlands,6,3,Friendly,Switzerland,FALSE
1930,11,2,Germany,Norway,1,1,Friendly,Germany,FALSE
1930,11,16,Austria,Sweden,4,1,Friendly,Austria,FALSE
1930,11,16,Bulgaria,Yugoslavia,0,3,Balkan Cup,Bulgaria,FALSE
1930,11,22,Wales,England,0,4,British Championship,Wales,FALSE
1930,11,30,Portugal,Spain,0,1,Friendly,Portugal,FALSE
1930,12,7,France,Belgium,2,2,Friendly,France,FALSE
1930,12,7,Greece,Bulgaria,6,1,Balkan Cup,Greece,FALSE
1930,12,31,Kenya,Uganda,0,0,Friendly,Kenya,FALSE
1930,12,31,Uganda,Kenya,5,0,Gossage Cup,Uganda,FALSE
1931,1,25,Italy,France,5,0,Friendly,Italy,FALSE
1931,2,9,Barbados,Martinique,1,2,Friendly,Barbados,FALSE
1931,2,11,Barbados,Martinique,3,2,Friendly,Barbados,FALSE
1931,2,12,Barbados,Martinique,0,0,Friendly,Barbados,FALSE
1931,2,15,France,Czechoslovakia,1,2,Friendly,France,FALSE
1931,2,21,Northern Ireland,Scotland,0,0,British Championship,Northern Ireland,FALSE
1931,2,22,Italy,Austria,2,1,International Cup,Italy,FALSE
1931,3,9,Trinidad and Tobago,Barbados,7,1,Friendly tournament,British Guiana,TRUE
1931,3,11,British Guiana,Trinidad and Tobago,1,1,Friendly tournament,British Guiana,FALSE
1931,3,13,British Guiana,Barbados,9,0,Friendly tournament,British Guiana,FALSE
1931,3,15,France,Germany,1,0,Friendly,France,FALSE
1931,3,15,Yugoslavia,Greece,4,1,Balkan Cup,Yugoslavia,FALSE
1931,3,16,Trinidad and Tobago,Barbados,5,1,Friendly tournament,British Guiana,TRUE
1931,3,18,British Guiana,Trinidad and Tobago,2,0,Friendly tournament,British Guiana,FALSE
1931,3,20,British Guiana,Barbados,7,0,Friendly tournament,British Guiana,FALSE
1931,3,22,Czechoslovakia,Hungary,3,3,International Cup,Czechoslovakia,FALSE
1931,3,28,Scotland,England,2,0,British Championship,Scotland,FALSE
1931,3,29,Netherlands,Belgium,3,2,Friendly,Netherlands,FALSE
1931,3,29,Switzerland,Italy,1,1,International Cup,Switzerland,FALSE
1931,4,5,Curacao,Aruba,1,0,Friendly,Curacao,FALSE
1931,4,12,Austria,Czechoslovakia,2,1,International Cup,Austria,FALSE
1931,4,12,Hungary,Switzerland,6,2,International Cup,Hungary,FALSE
1931,4,12,Portugal,Italy,0,2,Friendly,Portugal,FALSE
1931,4,19,Paraguay,Argentina,0,1,Friendly,Paraguay,FALSE
1931,4,19,Spain,Italy,0,0,Friendly,Spain,FALSE
1931,4,19,Yugoslavia,Bulgaria,1,0,Balkan Cup,Yugoslavia,FALSE
1931,4,22,Wales,Northern Ireland,3,2,British Championship,Wales,FALSE
1931,4,25,Paraguay,Argentina,1,1,Friendly,Paraguay,FALSE
1931,4,26,Netherlands,Germany,1,1,Friendly,Netherlands,FALSE
1931,4,26,Spain,Ireland,1,1,Friendly,Spain,FALSE
1931,5,3,Austria,Hungary,0,0,International Cup,Austria,FALSE
1931,5,3,Belgium,Netherlands,4,2,Friendly,Belgium,FALSE
1931,5,10,Romania,Bulgaria,5,2,Balkan Cup,Romania,FALSE
1931,5,14,France,England,5,2,Friendly,France,FALSE
1931,5,16,Austria,Scotland,5,0,Friendly,Austria,FALSE
1931,5,16,Belgium,England,1,4,Friendly,Belgium,FALSE
1931,5,20,Italy,Scotland,3,0,Friendly,Italy,FALSE
1931,5,21,Yugoslavia,Hungary,3,2,Friendly,Yugoslavia,FALSE
1931,5,24,Switzerland,Scotland,2,3,Friendly,Switzerland,FALSE
1931,5,24,Germany,Austria,0,6,Friendly,Germany,FALSE
1931,5,25,Denmark,Norway,3,1,Nordic Championship,Denmark,FALSE
1931,5,28,Latvia,Estonia,0,1,Friendly,Latvia,FALSE
1931,5,31,Portugal,Belgium,3,2,Friendly,Portugal,FALSE
1931,6,9,Estonia,Lithuania,4,1,Friendly,Estonia,FALSE
1931,6,13,Czechoslovakia,Switzerland,7,3,International Cup,Czechoslovakia,FALSE
1931,6,14,Denmark,Netherlands,0,2,Friendly,Denmark,FALSE
1931,6,14,Poland,Czechoslovakia,0,4,Friendly,Poland,FALSE
1931,6,16,Austria,Switzerland,2,0,Friendly,Austria,FALSE
1931,6,17,Sweden,Germany,0,0,Friendly,Sweden,FALSE
1931,6,17,Finland,Estonia,3,1,Friendly,Finland,FALSE
1931,6,21,Norway,Germany,2,2,Friendly,Norway,FALSE
1931,6,28,Sweden,Denmark,3,1,Nordic Championship,Sweden,FALSE
1931,6,28,Yugoslavia,Romania,2,4,Balkan Cup,Yugoslavia,FALSE
1931,6,30,Latvia,Lithuania,5,2,Friendly,Latvia,FALSE
1931,7,3,Sweden,Finland,8,2,Nordic Championship,Sweden,FALSE
1931,7,4,Argentina,Paraguay,1,1,Rosa Chevallier Boutell Cup,Argentina,FALSE
1931,7,5,Latvia,Poland,0,5,Friendly,Latvia,FALSE
1931,7,8,Sweden,Estonia,3,1,Friendly,Sweden,FALSE
1931,7,9,Argentina,Paraguay,3,1,Rosa Chevallier Boutell Cup,Argentina,FALSE
1931,7,26,Sweden,Latvia,6,0,Friendly,Sweden,FALSE
1931,8,2,Yugoslavia,Czechoslovakia,2,1,Friendly,Yugoslavia,FALSE
1931,8,19,Finland,Latvia,4,0,Friendly,Finland,FALSE
1931,8,20,Soviet Union,Turkey,3,2,Friendly,Soviet Union,FALSE
1931,8,23,Poland,Romania,2,3,Friendly,Poland,FALSE
1931,8,26,Lithuania,Romania,2,4,Friendly,Lithuania,FALSE
1931,8,30,Suriname,British Guiana,1,2,Friendly tournament,Suriname,FALSE
1931,8,30,Estonia,Lithuania,2,0,Baltic Cup,Estonia,FALSE
1931,8,31,Latvia,Lithuania,1,0,Baltic Cup,Estonia,TRUE
1931,9,1,Suriname,British Guiana,1,0,Friendly tournament,Suriname,FALSE
1931,9,1,Estonia,Latvia,3,1,Baltic Cup,Estonia,FALSE
1931,9,3,Suriname,British Guiana,2,0,Friendly tournament,Suriname,FALSE
1931,9,6,Brazil,Uruguay,2,0,Rio Branco Cup,Brazil,FALSE
1931,9,6,Finland,Norway,4,4,Nordic Championship,Finland,FALSE
1931,9,13,Austria,Germany,5,0,Friendly,Austria,FALSE
1931,9,19,Scotland,Northern Ireland,3,1,British Championship,Scotland,FALSE
1931,9,20,Hungary,Czechoslovakia,3,0,Friendly,Hungary,FALSE
1931,9,27,Germany,Denmark,4,2,Friendly,Germany,FALSE
1931,9,27,Norway,Sweden,2,1,Nordic Championship,Norway,FALSE
1931,9,27,Latvia,Estonia,2,1,Friendly,Latvia,FALSE
1931,9,27,Bulgaria,Turkey,5,1,Balkan Cup,Bulgaria,FALSE
1931,10,2,Turkey,Yugoslavia,2,0,Balkan Cup,Bulgaria,TRUE
1931,10,4,Hungary,Austria,2,2,International Cup,Hungary,FALSE
1931,10,4,Bulgaria,Yugoslavia,3,2,Balkan Cup,Bulgaria,FALSE
1931,10,11,Belgium,Poland,2,1,Friendly,Belgium,FALSE
1931,10,11,Denmark,Finland,2,3,Nordic Championship,Denmark,FALSE
1931,10,17,Northern Ireland,England,2,6,British Championship,Northern Ireland,FALSE
1931,10,25,Poland,Yugoslavia,6,3,Friendly,Poland,FALSE
1931,10,25,Bulgaria,Greece,2,1,Balkan Cup,Bulgaria,FALSE
1931,10,31,Wales,Scotland,2,3,British Championship,Wales,FALSE
1931,11,8,Hungary,Sweden,3,1,Friendly,Hungary,FALSE
1931,11,15,Italy,Czechoslovakia,2,2,International Cup,Italy,FALSE
1931,11,18,England,Wales,3,1,British Championship,England,FALSE
1931,11,29,Switzerland,Austria,1,8,International Cup,Switzerland,FALSE
1931,11,29,France,Netherlands,3,4,Friendly,France,FALSE
1931,11,29,Greece,Romania,2,4,Balkan Cup,Greece,FALSE
1931,12,5,Northern Ireland,Wales,4,0,British Championship,Northern Ireland,FALSE
1931,12,6,Belgium,Switzerland,2,1,Friendly,Belgium,FALSE
1931,12,9,England,Spain,7,1,Friendly,England,FALSE
1931,12,13,Italy,Hungary,3,2,International Cup,Italy,FALSE
1931,12,13,Ireland,Spain,0,5,Friendly,Ireland,FALSE
1931,12,31,Kenya,Uganda,2,1,Gossage Cup,Kenya,FALSE
1932,1,17,Mauritius,Reunion,5,0,Friendly,Mauritius,FALSE
1932,2,14,Netherlands,Belgium,2,3,Friendly,Netherlands,FALSE
1932,2,14,Italy,Switzerland,3,0,International Cup,Italy,FALSE
1932,2,19,Egypt,Hungary,0,0,Friendly,Egypt,FALSE
1932,3,2,British Guiana,Suriname,3,3,Friendly tournament,British Guiana,FALSE
1932,3,5,British Guiana,Suriname,1,2,Friendly tournament,British Guiana,FALSE
1932,3,6,Germany,Switzerland,2,0,Friendly,Germany,FALSE
1932,3,7,British Guiana,Suriname,3,1,Friendly tournament,British Guiana,FALSE
1932,3,13,Haiti,Jamaica,4,1,Friendly,Haiti,FALSE
1932,3,20,Haiti,Jamaica,0,1,Friendly,Haiti,FALSE
1932,3,20,Austria,Italy,2,1,International Cup,Austria,FALSE
1932,3,20,Czechoslovakia,Hungary,1,3,Friendly,Czechoslovakia,FALSE
1932,3,20,Belgium,Netherlands,1,4,Friendly,Belgium,FALSE
1932,3,20,Switzerland,France,3,3,Friendly,Switzerland,FALSE
1932,3,27,Greece,Bulgaria,1,2,Friendly,Greece,FALSE
1932,3,30,Greece,Bulgaria,2,2,Friendly,Greece,FALSE
1932,4,9,England,Scotland,3,0,British Championship,England,FALSE
1932,4,10,France,Italy,1,2,Friendly,France,FALSE
1932,4,14,British Guiana,Trinidad and Tobago,1,0,Friendly tournament,Barbados,TRUE
1932,4,16,Barbados,British Guiana,0,1,Friendly tournament,Barbados,FALSE
1932,4,17,Netherlands,Belgium,2,1,Friendly,Netherlands,FALSE
1932,4,17,Switzerland,Czechoslovakia,5,1,International Cup,Switzerland,FALSE
1932,4,18,Barbados,Trinidad and Tobago,1,0,Friendly tournament,Barbados,FALSE
1932,4,21,Trinidad and Tobago,British Guiana,2,1,Friendly tournament,Barbados,TRUE
1932,4,23,Barbados,British Guiana,2,2,Friendly tournament,Barbados,FALSE
1932,4,24,Austria,Hungary,8,2,Friendly,Austria,FALSE
1932,4,24,Spain,Yugoslavia,2,1,Friendly,Spain,FALSE
1932,4,26,Barbados,Trinidad and Tobago,1,3,Friendly tournament,Barbados,FALSE
1932,5,1,Belgium,France,5,2,Friendly,Belgium,FALSE
1932,5,3,Portugal,Yugoslavia,3,2,Friendly,Portugal,FALSE
1932,5,8,France,Scotland,1,3,Friendly,France,FALSE
1932,5,8,Hungary,Italy,1,1,International Cup,Hungary,FALSE
1932,5,8,Netherlands,Ireland,0,2,Friendly,Netherlands,FALSE
1932,5,15,Argentina,Uruguay,2,0,Friendly,Argentina,FALSE
1932,5,16,Sweden,Finland,7,1,Friendly,Sweden,FALSE
1932,5,18,Uruguay,Argentina,1,0,Friendly,Uruguay,FALSE
1932,5,22,Czechoslovakia,Austria,1,1,International Cup,Czechoslovakia,FALSE
1932,5,29,Netherlands,Czechoslovakia,1,2,Friendly,Netherlands,FALSE
1932,5,29,Yugoslavia,Poland,0,3,Friendly,Yugoslavia,FALSE
1932,6,1,Estonia,Latvia,3,0,Friendly,Estonia,FALSE
1932,6,5,Denmark,Belgium,3,4,Friendly,Denmark,FALSE
1932,6,5,Yugoslavia,France,2,1,Friendly,Yugoslavia,FALSE
1932,6,5,Norway,Estonia,3,0,Friendly,Norway,FALSE
1932,6,9,Bulgaria,France,3,5,Friendly,Bulgaria,FALSE
1932,6,10,Finland,Sweden,1,3,Nordic Championship,Finland,FALSE
1932,6,12,Sweden,Belgium,3,1,Friendly,Sweden,FALSE
1932,6,12,Romania,France,6,3,Friendly,Romania,FALSE
1932,6,17,Norway,Finland,2,1,Nordic Championship,Norway,FALSE
1932,6,19,Switzerland,Hungary,3,1,International Cup,Switzerland,FALSE
1932,6,19,Denmark,Sweden,3,1,Nordic Championship,Denmark,FALSE
1932,6,26,Bulgaria,Romania,2,0,Balkan Cup,Yugoslavia,TRUE
1932,6,26,Yugoslavia,Greece,7,1,Balkan Cup,Yugoslavia,FALSE
1932,6,28,Romania,Greece,3,0,Balkan Cup,Yugoslavia,TRUE
1932,6,29,Lithuania,Latvia,2,3,Friendly,Lithuania,FALSE
1932,6,30,Yugoslavia,Bulgaria,2,3,Balkan Cup,Yugoslavia,FALSE
1932,7,1,Finland,Germany,1,4,Friendly,Finland,FALSE
1932,7,1,Sweden,Norway,1,4,Nordic Championship,Sweden,FALSE
1932,7,2,Bulgaria,Greece,2,0,Balkan Cup,Yugoslavia,TRUE
1932,7,3,Yugoslavia,Romania,3,1,Balkan Cup,Yugoslavia,FALSE
1932,7,10,Poland,Sweden,2,0,Friendly,Poland,FALSE
1932,7,13,Latvia,Sweden,0,0,Friendly,Latvia,FALSE
1932,7,15,Estonia,Sweden,1,3,Friendly,Estonia,FALSE
1932,7,17,Sweden,Austria,3,4,Friendly,Sweden,FALSE
1932,7,24,Latvia,Lithuania,2,1,Friendly,Latvia,FALSE
1932,8,6,Lithuania,Estonia,1,0,Friendly,Lithuania,FALSE
1932,8,18,Estonia,Finland,0,3,Friendly,Estonia,FALSE
1932,8,28,Latvia,Lithuania,4,1,Baltic Cup,Latvia,FALSE
1932,8,29,Lithuania,Estonia,2,1,Baltic Cup,Latvia,TRUE
1932,8,30,Finland,Denmark,4,2,Nordic Championship,Finland,FALSE
1932,8,30,Latvia,Estonia,1,0,Baltic Cup,Latvia,FALSE
1932,8,31,Suriname,British Guiana,1,0,Friendly tournament,Suriname,FALSE
1932,9,2,Suriname,British Guiana,1,0,Friendly tournament,Suriname,FALSE
1932,9,4,Suriname,British Guiana,0,2,Friendly tournament,Suriname,FALSE
1932,9,11,Lithuania,Latvia,1,0,Friendly,Lithuania,FALSE
1932,9,17,Northern Ireland,Scotland,0,4,British Championship,Northern Ireland,FALSE
1932,9,18,Hungary,Czechoslovakia,2,1,International Cup,Hungary,FALSE
1932,9,25,Germany,Sweden,4,3,Friendly,Germany,FALSE
1932,9,25,Sweden,Lithuania,8,1,Friendly,Sweden,FALSE
1932,9,25,Norway,Denmark,1,2,Nordic Championship,Norway,FALSE
1932,10,2,Hungary,Austria,2,3,Friendly,Hungary,FALSE
1932,10,2,Poland,Latvia,2,1,Friendly,Poland,FALSE
1932,10,2,Romania,Poland,0,5,Friendly,Romania,FALSE
1932,10,9,Czechoslovakia,Yugoslavia,2,1,Friendly,Czechoslovakia,FALSE
1932,10,16,Belgium,Netherlands,2,3,Friendly,Belgium,FALSE
1932,10,17,England,Northern Ireland,1,0,British Championship,England,FALSE
1932,10,21,Turkey,Soviet Union,2,2,Friendly,Turkey,FALSE
1932,10,23,Austria,Switzerland,3,1,International Cup,Austria,FALSE
1932,10,23,Turkey,Soviet Union,0,4,Friendly,Turkey,FALSE
1932,10,26,Scotland,Wales,2,5,British Championship,Scotland,FALSE
1932,10,27,Turkey,Soviet Union,0,1,Friendly,Turkey,FALSE
1932,10,28,Czechoslovakia,Italy,2,1,International Cup,Czechoslovakia,FALSE
1932,10,30,Hungary,Germany,2,1,Friendly,Hungary,FALSE
1932,10,30,Turkey,Soviet Union,2,3,Friendly,Turkey,FALSE
1932,11,4,Turkey,Bulgaria,2,3,Friendly,Turkey,FALSE
1932,11,6,Switzerland,Sweden,2,1,Friendly,Switzerland,FALSE
1932,11,16,Wales,England,0,0,British Championship,Wales,FALSE
1932,11,27,Italy,Hungary,4,2,Friendly,Italy,FALSE
1932,12,4,Uruguay,Brazil,1,2,Rio Branco Cup,Uruguay,FALSE
1932,12,4,Germany,Netherlands,0,2,Friendly,Germany,FALSE
1932,12,7,England,Austria,4,3,Friendly,England,FALSE
1932,12,7,Wales,Northern Ireland,4,1,British Championship,Wales,FALSE
1932,12,11,Belgium,Austria,1,6,Friendly,Belgium,FALSE
1932,12,31,Uganda,Kenya,13,1,Gossage Cup,Uganda,FALSE
1932,12,31,Dominica,Martinique,1,0,Friendly,Dominica,FALSE
1933,1,1,Italy,Germany,3,1,Friendly,Italy,FALSE
1933,1,21,Uruguay,Argentina,2,1,Friendly,Uruguay,FALSE
1933,1,22,Netherlands,Switzerland,0,2,Friendly,Netherlands,FALSE
1933,1,29,Portugal,Hungary,1,0,Friendly,Portugal,FALSE
1933,2,5,Argentina,Uruguay,4,1,Friendly,Argentina,FALSE
1933,2,12,France,Austria,0,4,Friendly,France,FALSE
1933,2,12,Belgium,Italy,2,3,Friendly,Belgium,FALSE
1933,3,5,Netherlands,Hungary,1,2,Friendly,Netherlands,FALSE
1933,3,12,Switzerland,Belgium,3,3,Friendly,Switzerland,FALSE
1933,3,19,Hungary,Czechoslovakia,2,0,Friendly,Hungary,FALSE
1933,3,19,Germany,France,3,3,Friendly,Germany,FALSE
1933,3,26,France,Belgium,3,0,Friendly,France,FALSE
1933,4,1,Scotland,England,2,1,British Championship,Scotland,FALSE
1933,4,2,Switzerland,Italy,0,3,International Cup,Switzerland,FALSE
1933,4,2,Spain,Portugal,3,0,Friendly,Spain,FALSE
1933,4,9,Austria,Czechoslovakia,1,2,Friendly,Austria,FALSE
1933,4,9,Belgium,Netherlands,1,3,Friendly,Belgium,FALSE
1933,4,23,France,Spain,1,0,Friendly,France,FALSE
1933,4,30,Hungary,Austria,1,1,Friendly,Hungary,FALSE
1933,4,30,Yugoslavia,Spain,1,1,Friendly,Yugoslavia,FALSE
1933,5,3,British Guiana,Suriname,2,0,Friendly tournament,British Guiana,FALSE
1933,5,5,British Guiana,Suriname,0,1,Friendly tournament,British Guiana,FALSE
1933,5,7,Netherlands,Belgium,1,2,Friendly,Netherlands,FALSE
1933,5,7,Switzerland,Yugoslavia,4,1,Friendly,Switzerland,FALSE
1933,5,7,Italy,Czechoslovakia,2,0,International Cup,Italy,FALSE
1933,5,8,British Guiana,Suriname,1,0,Friendly tournament,British Guiana,FALSE
1933,5,13,Italy,England,1,1,Friendly,Italy,FALSE
1933,5,20,Switzerland,England,0,4,Friendly,Switzerland,FALSE
1933,5,21,Spain,Bulgaria,13,0,Friendly,Spain,FALSE
1933,5,25,France,Wales,1,1,Friendly,France,FALSE
1933,5,28,Latvia,Estonia,2,0,Friendly,Latvia,FALSE
1933,6,3,Yugoslavia,Greece,5,3,Balkan Cup,Romania,TRUE
1933,6,4,Poland,Belgium,0,1,Friendly,Poland,FALSE
1933,6,4,Romania,Bulgaria,7,0,Balkan Cup,Romania,FALSE
1933,6,5,Australia,New Zealand,4,2,Friendly,Australia,FALSE
1933,6,6,Romania,Greece,1,0,Balkan Cup,Romania,FALSE
1933,6,7,Yugoslavia,Bulgaria,4,0,Balkan Cup,Romania,TRUE
1933,6,10,Czechoslovakia,France,4,0,Friendly,Czechoslovakia,FALSE
1933,6,10,Bulgaria,Greece,2,0,Balkan Cup,Romania,TRUE
1933,6,11,Austria,Belgium,4,1,Friendly,Austria,FALSE
1933,6,11,Sweden,Estonia,6,2,World Cup qualifier,Sweden,FALSE
1933,6,11,Denmark,Norway,2,2,Nordic Championship,Denmark,FALSE
1933,6,11,Romania,Yugoslavia,5,0,Balkan Cup,Romania,FALSE
1933,6,12,Latvia,Lithuania,6,2,Friendly,Latvia,FALSE
1933,6,17,Australia,New Zealand,6,4,Friendly,Australia,FALSE
1933,6,18,Sweden,Denmark,2,3,Nordic Championship,Sweden,FALSE
1933,6,24,Australia,New Zealand,4,2,Friendly,Australia,FALSE
1933,6,25,Netherlands,Hungary,6,5,Friendly,Netherlands,FALSE
1933,6,29,Lithuania,Sweden,0,2,World Cup qualifier,Lithuania,FALSE
1933,7,2,Sweden,Hungary,5,2,Friendly,Sweden,FALSE
1933,7,4,Latvia,Sweden,1,1,Friendly,Latvia,FALSE
1933,7,14,Sweden,Finland,2,0,Nordic Championship,Sweden,FALSE
1933,7,20,Estonia,Lithuania,2,1,Friendly,Estonia,FALSE
1933,7,30,Soviet Union,Turkey,1,2,Friendly,Soviet Union,FALSE
1933,8,6,Reunion,Mauritius,1,4,Friendly,Reunion,FALSE
1933,8,6,Yugoslavia,Czechoslovakia,2,1,Friendly,Yugoslavia,FALSE
1933,8,8,Reunion,Mauritius,0,4,Friendly,Reunion,FALSE
1933,8,9,Finland,Lithuania,9,2,Friendly,Finland,FALSE
1933,8,9,Estonia,Latvia,2,1,Friendly,Estonia,FALSE
1933,8,10,Reunion,Mauritius,0,2,Friendly,Reunion,FALSE
1933,8,15,New Caledonia,Australia,1,2,Friendly,New Caledonia,FALSE
1933,8,16,Finland,Estonia,2,1,Friendly,Finland,FALSE
1933,8,20,New Caledonia,Australia,2,4,Friendly,New Caledonia,FALSE
1933,8,27,New Caledonia,Australia,3,7,Friendly,New Caledonia,FALSE
1933,8,27,Suriname,British Guiana,2,1,Friendly tournament,Suriname,FALSE
1933,8,31,Suriname,British Guiana,1,2,Friendly tournament,Suriname,FALSE
1933,9,2,Lithuania,Estonia,1,1,Baltic Cup,Lithuania,FALSE
1933,9,3,Finland,Norway,1,5,Nordic Championship,Finland,FALSE
1933,9,3,Latvia,Estonia,1,0,Baltic Cup,Lithuania,TRUE
1933,9,4,Lithuania,Latvia,2,2,Baltic Cup,Lithuania,FALSE
1933,9,5,Lithuania,Estonia,0,5,Friendly,Lithuania,FALSE
1933,9,7,Suriname,British Guiana,2,0,Friendly tournament,Suriname,FALSE
1933,9,9,New Caledonia,Australia,0,5,Friendly,New Caledonia,FALSE
1933,9,10,Poland,Yugoslavia,4,3,Friendly,Poland,FALSE
1933,9,16,Scotland,Northern Ireland,1,2,British Championship,Scotland,FALSE
1933,9,17,Czechoslovakia,Austria,3,3,Friendly,Czechoslovakia,FALSE
1933,9,17,Hungary,Switzerland,3,0,International Cup,Hungary,FALSE
1933,9,24,Yugoslavia,Switzerland,2,2,World Cup qualifier,Yugoslavia,FALSE
1933,9,24,Norway,Sweden,0,1,Nordic Championship,Norway,FALSE
1933,10,1,Austria,Hungary,2,2,Friendly,Austria,FALSE
1933,10,4,Wales,Scotland,3,2,British Championship,Wales,FALSE
1933,10,8,Aruba,Curacao,1,3,Friendly,Aruba,FALSE
1933,10,8,Denmark,Finland,2,0,Nordic Championship,Denmark,FALSE
1933,10,11,Aruba,Curacao,0,2,Friendly,Aruba,FALSE
1933,10,14,Northern Ireland,England,0,3,British Championship,Northern Ireland,FALSE
1933,10,15,Poland,Czechoslovakia,1,2,World Cup qualifier,Poland,FALSE
1933,10,22,Hungary,Italy,0,1,International Cup,Hungary,FALSE
1933,10,22,Germany,Belgium,8,1,Friendly,Germany,FALSE
1933,10,23,Trinidad and Tobago,Barbados,8,4,Friendly,Trinidad and Tobago,FALSE
1933,10,24,Trinidad and Tobago,British Guiana,2,0,Friendly,Trinidad and Tobago,FALSE
1933,10,26,British Guiana,Barbados,2,0,Friendly tournament,Trinidad and Tobago,TRUE
1933,10,28,Trinidad and Tobago,British Guiana,1,1,Friendly tournament,Trinidad and Tobago,FALSE
1933,10,29,Switzerland,Romania,2,2,World Cup qualifier,Switzerland,FALSE
1933,10,30,Trinidad and Tobago,Barbados,3,1,Friendly tournament,Trinidad and Tobago,FALSE
1933,11,1,British Guiana,Barbados,5,2,Friendly tournament,Trinidad and Tobago,TRUE
1933,11,4,Trinidad and Tobago,British Guiana,1,0,Friendly tournament,Trinidad and Tobago,FALSE
1933,11,4,Northern Ireland,Wales,1,1,British Championship,Northern Ireland,FALSE
1933,11,5,Germany,Norway,2,2,Friendly,Germany,FALSE
